Sentence,Two_Entity,Predict,Label,idx
0 1 2 3 4 5 6 7 8 9 10,NONE,PER-SOC-lr,187
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44,PHYS-lr,NONE,831
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20,NONE,PER-SOC-lr,1048
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28,NONE,ORG-AFF-lr,1099
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19,NONE,PHYS-lr,1112
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73,PART-WHOLE-lr,NONE,1460
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69,NONE,ORG-AFF-lr,2281
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21,NONE,PER-SOC-lr,2913
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21,NONE,PER-SOC-lr,2921
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17,NONE,ORG-AFF-lr,3684
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21,ORG-AFF-rl,NONE,3947
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,ART-rl,NONE,4071
0 1 2 3 4 5 6 7 8 9 10 11,NONE,GEN-AFF-lr,5566
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24,NONE,PER-SOC-lr,6673
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24,NONE,PER-SOC-lr,6674
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47,NONE,PER-SOC-rl,6824
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25,NONE,PER-SOC-lr,7386
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21,NONE,PER-SOC-lr,7973
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21,NONE,PER-SOC-lr,7974
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38,PART-WHOLE-rl,NONE,9240
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26,GEN-AFF-lr,NONE,10025
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14,NONE,ART-lr,10114
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56,NONE,PER-SOC-lr,10503
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56,NONE,PER-SOC-lr,10545
0 1 2 3 4 5 6,NONE,PHYS-rl,10621
0 1 2 3 4 5 6 7 8 9 10 11,NONE,PER-SOC-lr,11883
0 1 2 3 4 5 6 7 8,NONE,PHYS-rl,11910
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20,NONE,PHYS-rl,11913
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31,NONE,ORG-AFF-lr,11930
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31,NONE,ORG-AFF-lr,11934
0 1 2 3 4 5 6 7 8 9 10 11 12,NONE,ORG-AFF-lr,12638
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21,NONE,PER-SOC-lr,12743
0 1 2 3 4 5 6 7,PART-WHOLE-rl,NONE,12823
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46,NONE,PER-SOC-lr,13079
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90,NONE,PHYS-lr,13249
0 1 2 3 4 5 6 7 8 9 10,PER-SOC-lr,PER-SOC-rl,14076
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17,PER-SOC-lr,PER-SOC-rl,14088
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,PER-SOC-lr,PER-SOC-rl,14104
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22,NONE,PHYS-rl,16083
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22,NONE,PER-SOC-lr,16110
0 1 2 3 4 5 6 7 8 9 10 11 12,NONE,PER-SOC-lr,16438
0 1 2 3 4 5 6 7 8 9 10 11,GEN-AFF-lr,NONE,16510
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84,PART-WHOLE-rl,NONE,17218
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84,PART-WHOLE-rl,NONE,17282
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,NONE,ORG-AFF-lr,18301
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34,NONE,ART-lr,18509
